	Control_med_T0-1	Control_med_T0-2	Control_med_T0-3	Control_med_T1h-1	Control_med_T1h-2	Control_med_T1h-3	Control_med_T2h-1	Control_med_T2h-2	Control_med_T2h-3	Control_med_T4h-1	Control_med_T4h-2	Control_med_T4h-3	Control_med_T6h-1	Control_med_T6h-2	Control_med_T6h-3	Control_med_T24h-1	Control_med_T24h-2	Control_med_T24h-3	L-Cycloserine_med_T0-1	L-Cycloserine_med_T0-2	L-Cycloserine_med_T0-3	L-Cycloserine_med_T1h-1	L-Cycloserine_med_T1h-2	L-Cycloserine_med_T1h-3	L-Cycloserine_med_T2h-1	L-Cycloserine_med_T2h-2	L-Cycloserine_med_T2h-3	L-Cycloserine_med_T4h-1	L-Cycloserine_med_T4h-2	L-Cycloserine_med_T4h-3	L-Cycloserine_med_T6h-1	L-Cycloserine_med_T6h-2	L-Cycloserine_med_T6h-3	L-Cycloserine_med_T24h-1	L-Cycloserine_med_T24h-2	L-Cycloserine_med_T24h-3
L-Lactic_acid	9140689623.232836	9107397180.017	9413256524.7257	8480895253.372201	8669538077.142668	9614259983.3072	8999036062.373468	8517175537.2538	9610707049.412666	8964796823.511198	9448556709.3288	9155931612.016535	9473385609.346666	9363758965.281134	9772498739.694935	8542345918.704666	8011328955.565132	10053809830.447332	8733925176.898832	8551492470.579334	9279866537.871	9720167092.5264	8782639595.258001	9189499083.4163	9147266636.654999	9659659303.274399	8990423973.682432	9814779709.101868	9151847424.8682	10047959274.887999	9363967972.791468	8797247439.8868	9692374486.7214	8546268836.6916685	8806448151.866735	9225607426.0792
Hexose	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Hexose-phosphate	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Pyruvic_acid	766955.3700800001	540312.8626799999	707964.5069999999	4648921.3085	5059601.369479999	5552688.7101	5884819.012159999	6043622.291850001	7908544.185359999	8083060.529849999	9323358.3075	8649815.4216	11798044.273889998	11907146.90277	12180408.050790003	15971301.039960003	16688728.206500001	18404880.33275	977350.0024000001	958816.0231	1186115.322	5790135.94145	5526582.74252	6116257.405799999	7493009.07	7984912.75101	7621638.945719999	10078609.6929	9845177.77248	11498177.659359999	13178104.206079999	12195956.534400001	13904483.658820001	18132035.81906	17006785.6184	18178668.54996
L-Glutamine	0.0	3167.28027	0.0	16830.881606	0.0	0.0	11463.194829600001	3985.999654	0.0	26731.282290399995	10091.275894000002	50486.875274399994	51996.921149999995	91290.09024799998	68019.793842	1354479.35715	1458383.161196	1263501.0206	842.3904479999999	2877.0372400000006	4469.1316116	7846.2300000000005	6513.714768399999	15776.816224	5771.124084	13334.112214400002	10241.574988	16043.578486000002	31336.996035600005	12453.8316448	93118.52517920002	36247.079635199996	79974.82612019998	1378116.967808	1313564.2842160002	1325941.16457
L-Methionine	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
L-Phenylalanine	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Glycine	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
L-Alanine	0.0	330.36147066666666	218.224164	154.3186486666667	9017.056655999999	9763.124836	0.0	9954.958785	474.393458	159.99824133333337	0.0	12551.72659	36575.87152	25467.043888000004	16523.444915999997	491176.79045166663	369925.16366400005	407027.0126953332	542.2571839999999	0.0	170.62567600000003	505.5199679999999	579.2734980000001	350.83302133333336	0.0	203.91156200000003	0.0	154.05397133333332	0.0	0.0	356.22524	0.0	0.0	0.0	363.4413066666666	210.38477866666668
L-Histidine	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
L-Proline	15542.589759999999	30581.050332000003	58229.705352	14502.212999999998	0.0	44118.51024	91643.05343	0.0	37004.905176	37509.219260000005	28980.28125	63788.95555200001	40458.62366	0.0	26017.181829999998	0.0	56367.992272	25238.649799999996	0.0	0.0	0.0	55070.24247999999	3718.9115599999996	0.0	38918.70166	3562.3678480000003	105585.40931999998	0.0	54919.64090399999	0.0	0.0	6130.435808	87515.1531652	101984.71456800001	92197.56693	122743.2063258
L-Serine	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
L-Tryptophan	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
L-Valine	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
L-Arginine	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
L-Asparagine	0.0	0.0	0.0	0.0	0.0	7883.643418500001	0.0	0.0	0.0	8900.93826	0.0	505.916634	0.0	0.0	0.0	0.0	0.0	0.0	19676.75192	0.0	0.0	0.0	0.0	0.0	0.0	0.0	748.517122	0.0	0.0	8632.02477175	7924.38510375	0.0	0.0	0.0	0.0	0.0
L-Threonine	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14550.522560000001	0.0
L-Lysine	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Ile_Leu	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
L-Tyrosine	94597.97528888889	85202.71744444444	62451.59244444445	55244.42933333334	36136.28406666667	60725.878333333334	54990.22033333334	56010.0498888889	67047.16811111111	11446.951822222223	37204.30673333333	49262.25751111111	50531.905422222226	52839.79448888889	26391.955822222226	65629.46977777778	66063.39244444444	55555.14008888889	111997.434	95663.8528	37370.98066666667	77599.02986666666	48946.00711111111	37745.378600000004	38283.071866666665	77357.32013333334	142277.5258666667	61103.55822222223	61742.19700000001	85522.42595555556	118482.074	88865.24064444444	88664.95928888887	121723.0512	66000.13311111112	145807.70697777777
