metabolite_or_isotopologue	MCF001089_TD19	MCF001089_TD20	MCF001089_TD21	MCF001089_TD22	MCF001089_TD23	MCF001089_TD24	MCF001089_TD25	MCF001089_TD26	MCF001089_TD27	MCF001089_TD28	MCF001089_TD29	MCF001089_TD30	MCF001089_TD31	MCF001089_TD32	MCF001089_TD33	MCF001089_TD34	MCF001089_TD35	MCF001089_TD36	MCF001089_TD55	MCF001089_TD56	MCF001089_TD57	MCF001089_TD58	MCF001089_TD59	MCF001089_TD60	MCF001089_TD61	MCF001089_TD62	MCF001089_TD63	MCF001089_TD64	MCF001089_TD65	MCF001089_TD66	MCF001089_TD67	MCF001089_TD68	MCF001089_TD69	MCF001089_TD70	MCF001089_TD71	MCF001089_TD72
3-Phosphoglyceric_acid	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Citric_acid																		0.0040156965278035																		
D-Glyceraldehyde_3-phosphate	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Fructose_1,6-bisphosphate	0.0		0.0	0.0	0.0			0.0	0.0	0.0	0.0	0.0				0.0																				
Fumaric_acid	0.0	0.0	0.0	0.0	0.0	0.0		0.0005000413005317	0.0016523568757262	0.0	0.0008201984950621	0.0007085177895895	0.0077946221138123	0.0093033299434443	0.0091539862734814	0.0261539096177228	0.0312950739973113	0.0333727029176039																		
Glycine	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Hexose	0.0057568749428963	0.0052188231363874	0.0043297675688527	0.0044882450911382	0.0063126352881422	0.0062339915479162	0.0041732481389427	0.0046244191460601	0.0030964477683978	0.0090454190905873	0.0050619118250187	0.0049437001977371	0.0035118901454864	0.0013218918097527	0.0052609006382394	0.0028107389141849	0.0038265574097915	0.0017098457329177	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Hexose-phosphate	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Ile_Leu	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
L-Alanine	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
L-Arginine	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
L-Asparagine	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0027504334814913	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0027474892266859	0.0021073456213229	0.0	0.0	0.0	0.0	0.0
L-Aspartic_acid	0.0088721470365526	0.0081418183341995	0.0090721207789612	0.108236058526759	0.117422148330018	0.113634708784867	0.128546005517517	0.134463940877588	0.12560374158413	0.175245310812553	0.176819157274036	0.186774930053763	0.206131239954182	0.211104587309165	0.208328911246667	0.337252678289219	0.363049859556732	0.346858000465493																		
L-Glutamic_acid	0.0186857662222136	0.0202828476474173	0.0197721051058676	0.180668665292664	0.177582486023426	0.175947872178065	0.20124661989943	0.203786827442622	0.200087081316336	0.257275569182196	0.253579610295249	0.263773710105154	0.272369965662477	0.271682172510886	0.278911661847445	0.386286991817904	0.390226465447828	0.391248733262899																		
L-Glutamine	0.0022774158642472	0.0022177382266197	0.0001812815978859	0.113998862990335	0.120541790603762	0.115941858127793	0.125412764443405	0.150842877169667	0.124958574898151	0.169374077760196	0.153229868227148	0.18752022806001	0.177966418361184	0.196664894800018	0.196643640816287	0.270313931283401	0.297303598209788	0.298499420067042																0.129920014540754	0.141309164833775	0.130030692352799
L-Histidine	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
L-Lactic_acid	0.99599115961227	0.99599772879137	0.996055416309211	0.996114986279799	0.996186593512373	0.995994500438067	0.996132991391358	0.996246688151202	0.996051760608539	0.996077166645931	0.996100440914313	0.996067781083434	0.99601668895667	0.996178580583198	0.996061417717953	0.995969806137341	0.995935510945724	0.995903403267933	0.981176728749348	0.982344821248399	0.982893975908719	0.983950155325975	0.975193385889834	0.981143490400924	0.973048888977137	0.979345434097336	0.973594010758196	0.980544075873575	0.978237037190108	0.98113431693267	0.98106519373445	0.975623343861642	0.981057297112723	0.978373403361441	0.978510234526732	0.977726812997291
L-Lysine	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
L-Malic_acid	0.0	0.0	0.0	0.0052067142140932	0.0056257012249537	0.005207843966982	0.0061450615379249	0.0084380432836862	0.0086616414932889	0.0104238940510081	0.0094818110272772	0.0121919967841092	0.025759290904856	0.0300708895546953	0.0296053186956199	0.0506266800459435	0.0657102876343217	0.0664064247296577																		
L-Methionine	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
L-Phenylalanine	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
L-Proline	0.0033332465193545	0.0039890890311149	0.0024885649034223	0.0093721516067247	0.0163988124935214	0.0051433044862159	0.0133985852742358	0.0146846667756098	0.0101251473331057	0.020802504111159	0.0232041986653909	0.024288564618487	0.0168950002867602	0.0254154997218666	0.0239049587319658	0.0241159608782999	0.0372828629124888	0.030685284835207	0.0	0.0	0.0	0.0035981581498048	0.0	0.0	0.0022582830613801	0.0	0.0055923727631873	0.0	0.0035338625419719	0.0	0.0	2.94995872918784e-05	0.0068673778102713	0.0102248927631051	0.004402263176213	0.0068259358746325
L-Serine	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
L-Threonine	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
L-Tryptophan	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
L-Tyrosine	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
L-Valine	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Pyruvic_acid	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.000139075094375	5.51743930058195e-05	0.0001082430441832	0.0026506671181012	0.0024742401927132	0.0026622029351933	0.0035842403861946	0.0037691493657037	0.0034359904957269	0.0049145809132116	0.0043535166937337	0.0052363940213681	0.0059397458474132	0.0057874757829562	0.0064813096499476	0.0086269081967996	0.0074514762189764	0.0083900027691063
Succinic_acid											0.0022017832194433				0.0071974698893654	0.0144974225851065		0.0145223050314771																		
cis-Aconitic_acid	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
